# $_XX   $_YY     log(-effort)
0.708    0.005    4.76728903546
0.708    0.005    4.76728903546
0.709    0.002    3.44041809482
0.709    0.002    3.58351893846
0.709    0.002    3.22684399452
0.709    0.001    2.12823170585
0.709    0.001    2.37954613413
0.708    0.014    5.86590132413
0.327    0.433    4.27666611902
0.473    0.486    4.27666611902
0.444    0.471    3.17805383035
0.472    0.486    5.88610403145
0.503    0.499    3.58351893846
0.355    0.540    5.37063802813
0.444    0.471    3.87120101091
0.531    0.468    5.88610403145
0.413    0.497    5.78074351579
0.414    0.453    4.09434456222
0.444    0.471    3.87120101091
0.414    0.453    4.09434456222
0.708    0.004    4.09434456222
0.708    0.014    5.70378247466
0.708    0.006    4.78749174278
0.385    0.520    4.49980967033
0.444    0.471    5.34710753072
0.385    0.520    3.87120101091
0.473    0.486    4.24849524205
0.473    0.486    5.47646355193
0.473    0.486    4.40671924726
0.473    0.486    4.12713438505
0.473    0.486    5.13579843705
0.473    0.486    5.25749537203
0.709    0.001    2.8903717579
0.709    0.002    3.91202300543
0.709    0.003    4.09434456222
0.562    0.432    3.73766961828
0.532    0.468    4.09434456222
0.472    0.441    6.09582456243
0.532    0.468    3.73766961828
0.503    0.499    4.73619844839
0.412    0.453    7.12929754893
0.558    0.384    7.78322401634
0.323    0.521    7.22110509818
0.323    0.433    6.88038408219
0.384    0.432    5.99146454711
0.350    0.504    7.78322401634
0.353    0.500    6.04025471128
0.326    0.432    5.52942908751
0.356    0.578    4.67282883446
0.237    0.441    6.3480894898
0.238    0.442    4.59309760475
0.238    0.442    5.04342511692
0.325    0.478    6.62007320653
0.441    0.514    7.65917136767
0.444    0.513    5.91350300564
0.382    0.520    7.0741168162
0.443    0.470    5.62762111369
0.709    0.001    2.12823170585
0.254    0.541    8.42507790251
0.469    0.489    6.57925121201
0.355    0.500    6.12686918411
0.352    0.501    7.80791662893
0.325    0.478    5.08759633523
0.326    0.478    5.0106352941
0.354    0.456    6.45519856334
0.325    0.478    6.78219205601
0.292    0.455    6.09582456243
0.264    0.471    5.25749537203
0.354    0.456    6.3561076607
0.325    0.478    6.06842558824
0.356    0.457    4.27666611902
0.325    0.478    5.70378247466
0.325    0.478    5.70378247466
0.326    0.478    5.48063892334
0.325    0.478    6.39692965522
0.354    0.457    6.62804137618
0.263    0.426    7.09007683578
0.295    0.453    4.5747109785
0.326    0.432    6.01371515604
0.325    0.432    6.55535689181
0.385    0.520    7.20785987143
0.238    0.391    6.1737861039
0.355    0.578    6.39526159812
0.356    0.578    6.06378520869
0.001    0.014    8.33763581076
0.002    0.035    7.48014625841
0.002    0.034    7.40604262605
0.032    0.205    7.56242147272
0.268    0.553    6.47389069635
0.000    0.000    9.01322999771
0.444    0.552    6.1737861039
0.444    0.552    2.48490664979
0.444    0.552    3.63758615973
